NbEvaluations;Fbest
1000;26396.0
1100;26489.0
1200;25917.0
1300;26912.0
1400;26887.0
1500;27115.0
1600;26684.0
1700;26794.0
1800;26999.0
1900;27137.0
2000;28493.0
2100;27458.0
2200;28201.0
2300;26983.0
2400;27270.0
2500;26680.0
2600;26766.0
2700;26735.0
2800;26517.0
2900;27619.0
3000;27524.0
3100;26565.0
3200;27266.0
3300;26830.0
3400;27692.0
3500;27273.0
3600;26610.0
3700;27423.0
3800;27511.0
3900;26830.0
4000;27458.0
4100;27532.0
4200;26649.0
4300;26910.0
4400;26598.0
4500;27247.0
4600;27274.0
4700;26849.0
4800;26750.0
4900;27402.0
5000;26686.0
5100;26990.0
5200;27444.0
5300;28449.0
5400;26919.0
5500;26786.0
5600;26976.0
5700;27341.0
5800;27734.0
5900;26996.0
6000;28210.0
6100;26954.0
6200;26896.0
6300;27920.0
6400;27003.0
6500;26341.0
6600;27357.0
6700;27184.0
6800;27617.0
6900;26883.0
7000;26661.0
7100;27197.0
7200;27279.0
7300;26966.0
7400;27412.0
7500;27330.0
7600;26389.0
7700;26571.0
7800;28050.0
7900;26765.0
8000;27614.0
8100;27031.0
8200;26369.0
8300;27045.0
8400;27188.0
8500;27388.0
8600;26676.0
8700;27110.0
8800;26908.0
8900;26982.0
9000;27930.0
9100;28476.0
9200;27276.0
9300;26600.0
9400;27266.0
9500;27483.0
9600;26542.0
9700;27135.0
9800;27317.0
9900;27330.0
100;26689.0
200;26581.0
300;25631.0
400;25819.0
500;27213.0
600;26315.0
700;27412.0
800;27384.0
900;26069.0
1000;27779.0
1100;27256.0
1200;27411.0
1300;27130.0
1400;27591.0
1500;28543.0
1600;27889.0
1700;26786.0
1800;26988.0
1900;27079.0
2000;28194.0
2100;26809.0
2200;26366.0
2300;27929.0
2400;27459.0
2500;27105.0
2600;27386.0
2700;26736.0
2800;26768.0
2900;27205.0
3000;27224.0
3100;26616.0
3200;27045.0
3300;27911.0
3400;28095.0
3500;27699.0
3600;28198.0
3700;27059.0
3800;26999.0
3900;26882.0
4000;27689.0
4100;28421.0
4200;27119.0
4300;26974.0
4400;26374.0
4500;28739.0
4600;27376.0
4700;28261.0
4800;28405.0
4900;26972.0
5000;26867.0
5100;27423.0
5200;27662.0
5300;27273.0
5400;26599.0
5500;27208.0
5600;28142.0
5700;26622.0
5800;27410.0
5900;27540.0
6000;28019.0
6100;27065.0
6200;26274.0
6300;26739.0
6400;26957.0
6500;27294.0
6600;26730.0
6700;27060.0
6800;26553.0
6900;27778.0
7000;26633.0
7100;27366.0
7200;27078.0
7300;28134.0
7400;26348.0
7500;26394.0
7600;27576.0
7700;27718.0
7800;26778.0
7900;26973.0
8000;27430.0
8100;26852.0
8200;26959.0
8300;27353.0
8400;26884.0
8500;26911.0
8600;27349.0
8700;26541.0
8800;27648.0
8900;26356.0
9000;27463.0
9100;27332.0
9200;27502.0
9300;26423.0
9400;27098.0
9500;26951.0
9600;27200.0
9700;26764.0
9800;28301.0
9900;26432.0
