NbEvaluations;Fbest
4700;28659.0
4800;28698.0
4900;28819.0
5000;28577.0
100;27736.0
200;28489.0
300;28122.0
400;28001.0
500;28513.0
600;28202.0
700;27957.0
800;28368.0
900;28482.0
1000;28826.0
1100;28266.0
1200;28504.0
1300;28547.0
1400;28032.0
1500;28373.0
1600;28318.0
1700;28174.0
1800;28642.0
1900;28169.0
2000;28799.0
2100;28325.0
2200;28591.0
2300;28368.0
2400;28691.0
2500;28588.0
2600;28601.0
2700;28377.0
2800;28740.0
2900;28299.0
3000;28428.0
3100;28317.0
3200;28701.0
3300;29450.0
3400;28318.0
3500;29151.0
3600;29331.0
3700;28778.0
3800;28545.0
3900;28674.0
4000;28573.0
4100;28842.0
4200;28707.0
4300;29362.0
4400;28948.0
4500;28730.0
4600;29359.0
4700;29196.0
4800;29502.0
4900;28751.0
5000;28665.0
100;27410.0
200;28116.0
300;27687.0
400;28577.0
500;28221.0
600;28375.0
700;28386.0
800;28343.0
900;28267.0
1000;28190.0
1100;28077.0
1200;28289.0
1300;28607.0
1400;28443.0
1500;28259.0
1600;28281.0
1700;28302.0
1800;28110.0
1900;28835.0
2000;28413.0
2100;28636.0
2200;28793.0
2300;28403.0
2400;28987.0
2500;28657.0
2600;28622.0
2700;28319.0
2800;28742.0
2900;28401.0
3000;28499.0
3100;28925.0
3200;28766.0
3300;28368.0
3400;28273.0
3500;28569.0
3600;28779.0
3700;28963.0
3800;28478.0
3900;28281.0
4000;28346.0
4100;28449.0
4200;28400.0
4300;29240.0
4400;28325.0
4500;29056.0
4600;29044.0
4700;28955.0
4800;28653.0
4900;28838.0
5000;28701.0
100;28600.0
200;28303.0
300;27554.0
400;28162.0
500;28408.0
600;28550.0
700;27978.0
800;28443.0
900;28541.0
1000;28627.0
1100;28530.0
1200;28704.0
1300;28103.0
1400;28773.0
1500;28280.0
1600;29030.0
1700;28316.0
1800;28601.0
1900;29084.0
2000;28218.0
2100;28207.0
2200;28436.0
2300;28702.0
2400;28046.0
2500;28310.0
2600;28590.0
2700;29068.0
2800;28134.0
2900;28498.0
3000;28375.0
3100;28668.0
3200;29031.0
3300;28684.0
3400;28288.0
3500;28789.0
3600;28505.0
3700;28540.0
3800;28700.0
3900;29173.0
4000;28563.0
4100;28550.0
4200;28810.0
4300;28712.0
4400;28497.0
4500;28452.0
4600;28544.0
4700;28774.0
4800;29156.0
4900;29083.0
5000;28769.0
